Technique: DEMON | Model: mistral-small-4 | File: temp0.7_1shot_demon_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 62.33s | Saved: temp0.7_1shot_demon_deepseek-v3.2_v1_llm_eval10_mistral1.json
Technique: FEAR | Model: gpt-oss-120b | File: temp0.7_1shot_fear_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 177.34s | Saved: temp0.7_1shot_fear_deepseek-v3.2_v1_llm_eval11_gpt1.json
Technique: FEAR | Model: gpt-oss-120b | File: temp0.7_1shot_fear_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 238.08s | Saved: temp0.7_1shot_fear_deepseek-v3.2_v1_llm_eval11_gpt2.json
Technique: FEAR | Model: gpt-oss-120b | File: temp0.7_1shot_fear_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 352.64s | Saved: temp0.7_1shot_fear_deepseek-v3.2_v1_llm_eval11_gpt3.json
Technique: LABEL | Model: gpt-oss-120b | File: temp0.7_1shot_label_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 154.06s | Saved: temp0.7_1shot_label_deepseek-v3.2_v1_llm_eval11_gpt1.json
Technique: LABEL | Model: gpt-oss-120b | File: temp0.7_1shot_label_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 136.12s | Saved: temp0.7_1shot_label_deepseek-v3.2_v1_llm_eval11_gpt2.json
Technique: LABEL | Model: gpt-oss-120b | File: temp0.7_1shot_label_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 200.69s | Saved: temp0.7_1shot_label_deepseek-v3.2_v1_llm_eval11_gpt3.json
Technique: RELATIV | Model: gpt-oss-120b | File: temp0.7_1shot_relativ_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 98.39s | Saved: temp0.7_1shot_relativ_deepseek-v3.2_v1_llm_eval11_gpt1.json
Technique: RELATIV | Model: gpt-oss-120b | File: temp0.7_1shot_relativ_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 103.34s | Saved: temp0.7_1shot_relativ_deepseek-v3.2_v1_llm_eval11_gpt2.json
Technique: RELATIV | Model: gpt-oss-120b | File: temp0.7_1shot_relativ_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 178.15s | Saved: temp0.7_1shot_relativ_deepseek-v3.2_v1_llm_eval11_gpt3.json
Technique: DEMON | Model: kimi-k2.5 | File: temp0.7_1shot_demon_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 304.95s | Saved: temp0.7_1shot_demon_deepseek-v3.2_v1_llm_eval12_kimi1.json
Technique: DEMON | Model: kimi-k2.5 | File: temp0.7_1shot_demon_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 336.28s | Saved: temp0.7_1shot_demon_deepseek-v3.2_v1_llm_eval12_kimi2.json
Technique: DEMON | Model: kimi-k2.5 | File: temp0.7_1shot_demon_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 445.32s | Saved: temp0.7_1shot_demon_deepseek-v3.2_v1_llm_eval12_kimi3.json
Technique: FABUL | Model: kimi-k2.5 | File: temp0.7_1shot_fabul_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 235.47s | Saved: temp0.7_1shot_fabul_deepseek-v3.2_v1_llm_eval12_kimi1.json
Technique: FABUL | Model: kimi-k2.5 | File: temp0.7_1shot_fabul_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 304.69s | Saved: temp0.7_1shot_fabul_deepseek-v3.2_v1_llm_eval12_kimi2.json
Technique: FABUL | Model: kimi-k2.5 | File: temp0.7_1shot_fabul_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 559.23s | Saved: temp0.7_1shot_fabul_deepseek-v3.2_v1_llm_eval12_kimi3.json
Technique: FEAR | Model: kimi-k2.5 | File: temp0.7_1shot_fear_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 155.19s | Saved: temp0.7_1shot_fear_deepseek-v3.2_v1_llm_eval12_kimi1.json
Technique: FEAR | Model: kimi-k2.5 | File: temp0.7_1shot_fear_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 306.61s | Saved: temp0.7_1shot_fear_deepseek-v3.2_v1_llm_eval12_kimi2.json
Technique: FEAR | Model: kimi-k2.5 | File: temp0.7_1shot_fear_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 540.45s | Saved: temp0.7_1shot_fear_deepseek-v3.2_v1_llm_eval12_kimi3.json
Technique: LABEL | Model: kimi-k2.5 | File: temp0.7_1shot_label_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 253.55s | Saved: temp0.7_1shot_label_deepseek-v3.2_v1_llm_eval12_kimi1.json
Technique: LABEL | Model: kimi-k2.5 | File: temp0.7_1shot_label_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 257.65s | Saved: temp0.7_1shot_label_deepseek-v3.2_v1_llm_eval12_kimi2.json
Technique: LABEL | Model: kimi-k2.5 | File: temp0.7_1shot_label_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 443.27s | Saved: temp0.7_1shot_label_deepseek-v3.2_v1_llm_eval12_kimi3.json
Technique: RELATIV | Model: kimi-k2.5 | File: temp0.7_1shot_relativ_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 326.44s | Saved: temp0.7_1shot_relativ_deepseek-v3.2_v1_llm_eval12_kimi1.json
Technique: RELATIV | Model: kimi-k2.5 | File: temp0.7_1shot_relativ_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 269.51s | Saved: temp0.7_1shot_relativ_deepseek-v3.2_v1_llm_eval12_kimi2.json
Technique: RELATIV | Model: kimi-k2.5 | File: temp0.7_1shot_relativ_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 450.69s | Saved: temp0.7_1shot_relativ_deepseek-v3.2_v1_llm_eval12_kimi3.json
Technique: DEMON | Model: qwen3.5 | File: temp0.7_1shot_demon_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 382.21s | Saved: temp0.7_1shot_demon_deepseek-v3.2_v1_llm_eval13_qwen1.json
Technique: DEMON | Model: qwen3.5 | File: temp0.7_1shot_demon_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 329.64s | Saved: temp0.7_1shot_demon_deepseek-v3.2_v1_llm_eval13_qwen2.json
Technique: DEMON | Model: qwen3.5 | File: temp0.7_1shot_demon_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 640.07s | Saved: temp0.7_1shot_demon_deepseek-v3.2_v1_llm_eval13_qwen3.json
Technique: FABUL | Model: qwen3.5 | File: temp0.7_1shot_fabul_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 318.54s | Saved: temp0.7_1shot_fabul_deepseek-v3.2_v1_llm_eval13_qwen1.json
Technique: FABUL | Model: qwen3.5 | File: temp0.7_1shot_fabul_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 360.23s | Saved: temp0.7_1shot_fabul_deepseek-v3.2_v1_llm_eval13_qwen2.json
Technique: FABUL | Model: qwen3.5 | File: temp0.7_1shot_fabul_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 662.05s | Saved: temp0.7_1shot_fabul_deepseek-v3.2_v1_llm_eval13_qwen3.json
Technique: FEAR | Model: qwen3.5 | File: temp0.7_1shot_fear_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 215.78s | Saved: temp0.7_1shot_fear_deepseek-v3.2_v1_llm_eval13_qwen1.json
Technique: FEAR | Model: qwen3.5 | File: temp0.7_1shot_fear_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 331.68s | Saved: temp0.7_1shot_fear_deepseek-v3.2_v1_llm_eval13_qwen2.json
Technique: FEAR | Model: qwen3.5 | File: temp0.7_1shot_fear_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 591.20s | Saved: temp0.7_1shot_fear_deepseek-v3.2_v1_llm_eval13_qwen3.json
Technique: LABEL | Model: qwen3.5 | File: temp0.7_1shot_label_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 398.21s | Saved: temp0.7_1shot_label_deepseek-v3.2_v1_llm_eval13_qwen1.json
Technique: LABEL | Model: qwen3.5 | File: temp0.7_1shot_label_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 274.15s | Saved: temp0.7_1shot_label_deepseek-v3.2_v1_llm_eval13_qwen2.json
Technique: LABEL | Model: qwen3.5 | File: temp0.7_1shot_label_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 468.51s | Saved: temp0.7_1shot_label_deepseek-v3.2_v1_llm_eval13_qwen3.json
Technique: RELATIV | Model: qwen3.5 | File: temp0.7_1shot_relativ_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 464.41s | Saved: temp0.7_1shot_relativ_deepseek-v3.2_v1_llm_eval13_qwen1.json
Technique: RELATIV | Model: qwen3.5 | File: temp0.7_1shot_relativ_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 351.63s | Saved: temp0.7_1shot_relativ_deepseek-v3.2_v1_llm_eval13_qwen2.json
Technique: RELATIV | Model: qwen3.5 | File: temp0.7_1shot_relativ_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 612.67s | Saved: temp0.7_1shot_relativ_deepseek-v3.2_v1_llm_eval13_qwen3.json
Technique: FABUL | Model: glm-5 | File: temp0.7_1shot_fabul_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 1013.67s | Saved: temp0.7_1shot_fabul_deepseek-v3.2_v1_llm_eval14_glm1.json
Technique: FABUL | Model: glm-5 | File: temp0.7_1shot_fabul_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 845.58s | Saved: temp0.7_1shot_fabul_deepseek-v3.2_v1_llm_eval14_glm2.json
Technique: FABUL | Model: glm-5 | File: temp0.7_1shot_fabul_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 1143.28s | Saved: temp0.7_1shot_fabul_deepseek-v3.2_v1_llm_eval14_glm3.json
Technique: FEAR | Model: glm-5 | File: temp0.7_1shot_fear_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 921.59s | Saved: temp0.7_1shot_fear_deepseek-v3.2_v1_llm_eval14_glm1.json
Technique: FEAR | Model: glm-5 | File: temp0.7_1shot_fear_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 791.44s | Saved: temp0.7_1shot_fear_deepseek-v3.2_v1_llm_eval14_glm2.json
Technique: FEAR | Model: glm-5 | File: temp0.7_1shot_fear_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 1449.98s | Saved: temp0.7_1shot_fear_deepseek-v3.2_v1_llm_eval14_glm3.json
Technique: LABEL | Model: glm-5 | File: temp0.7_1shot_label_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 631.54s | Saved: temp0.7_1shot_label_deepseek-v3.2_v1_llm_eval14_glm1.json
Technique: LABEL | Model: glm-5 | File: temp0.7_1shot_label_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 487.34s | Saved: temp0.7_1shot_label_deepseek-v3.2_v1_llm_eval14_glm2.json
Technique: LABEL | Model: glm-5 | File: temp0.7_1shot_label_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 734.54s | Saved: temp0.7_1shot_label_deepseek-v3.2_v1_llm_eval14_glm3.json
Technique: RELATIV | Model: glm-5 | File: temp0.7_1shot_relativ_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 706.34s | Saved: temp0.7_1shot_relativ_deepseek-v3.2_v1_llm_eval14_glm1.json
Technique: RELATIV | Model: glm-5 | File: temp0.7_1shot_relativ_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 446.06s | Saved: temp0.7_1shot_relativ_deepseek-v3.2_v1_llm_eval14_glm2.json
Technique: RELATIV | Model: glm-5 | File: temp0.7_1shot_relativ_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 778.65s | Saved: temp0.7_1shot_relativ_deepseek-v3.2_v1_llm_eval14_glm3.json
Technique: DEMON | Model: glm-5 | File: temp0.7_1shot_demon_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 715.38s | Saved: temp0.7_1shot_demon_deepseek-v3.2_v1_llm_eval14_glm1.json
Technique: DEMON | Model: glm-5 | File: temp0.7_1shot_demon_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 571.73s | Saved: temp0.7_1shot_demon_deepseek-v3.2_v1_llm_eval14_glm2.json
Technique: DEMON | Model: glm-5 | File: temp0.7_1shot_demon_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 866.60s | Saved: temp0.7_1shot_demon_deepseek-v3.2_v1_llm_eval14_glm3.json
Technique: DEMON | Model: deepseek-v3.2-thinking | File: temp0.7_1shot_demon_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 552.31s | Saved: temp0.7_1shot_demon_deepseek-v3.2_v1_llm_eval15_deepseek1.json
Technique: DEMON | Model: deepseek-v3.2-thinking | File: temp0.7_1shot_demon_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 478.83s | Saved: temp0.7_1shot_demon_deepseek-v3.2_v1_llm_eval15_deepseek2.json
Technique: DEMON | Model: deepseek-v3.2-thinking | File: temp0.7_1shot_demon_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 698.42s | Saved: temp0.7_1shot_demon_deepseek-v3.2_v1_llm_eval15_deepseek3.json
Technique: FABUL | Model: deepseek-v3.2-thinking | File: temp0.7_1shot_fabul_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 522.25s | Saved: temp0.7_1shot_fabul_deepseek-v3.2_v1_llm_eval15_deepseek1.json
Technique: FABUL | Model: deepseek-v3.2-thinking | File: temp0.7_1shot_fabul_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 452.01s | Saved: temp0.7_1shot_fabul_deepseek-v3.2_v1_llm_eval15_deepseek2.json
Technique: FABUL | Model: deepseek-v3.2-thinking | File: temp0.7_1shot_fabul_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 741.50s | Saved: temp0.7_1shot_fabul_deepseek-v3.2_v1_llm_eval15_deepseek3.json
Technique: FEAR | Model: deepseek-v3.2-thinking | File: temp0.7_1shot_fear_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 381.59s | Saved: temp0.7_1shot_fear_deepseek-v3.2_v1_llm_eval15_deepseek1.json
Technique: FEAR | Model: deepseek-v3.2-thinking | File: temp0.7_1shot_fear_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 461.15s | Saved: temp0.7_1shot_fear_deepseek-v3.2_v1_llm_eval15_deepseek2.json
Technique: FEAR | Model: deepseek-v3.2-thinking | File: temp0.7_1shot_fear_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 858.16s | Saved: temp0.7_1shot_fear_deepseek-v3.2_v1_llm_eval15_deepseek3.json
Technique: LABEL | Model: deepseek-v3.2-thinking | File: temp0.7_1shot_label_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 622.54s | Saved: temp0.7_1shot_label_deepseek-v3.2_v1_llm_eval15_deepseek1.json
Technique: LABEL | Model: deepseek-v3.2-thinking | File: temp0.7_1shot_label_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 423.64s | Saved: temp0.7_1shot_label_deepseek-v3.2_v1_llm_eval15_deepseek2.json
Technique: LABEL | Model: deepseek-v3.2-thinking | File: temp0.7_1shot_label_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 673.93s | Saved: temp0.7_1shot_label_deepseek-v3.2_v1_llm_eval15_deepseek3.json
Technique: RELATIV | Model: deepseek-v3.2-thinking | File: temp0.7_1shot_relativ_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 618.33s | Saved: temp0.7_1shot_relativ_deepseek-v3.2_v1_llm_eval15_deepseek1.json
Technique: RELATIV | Model: deepseek-v3.2-thinking | File: temp0.7_1shot_relativ_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 407.15s | Saved: temp0.7_1shot_relativ_deepseek-v3.2_v1_llm_eval15_deepseek2.json
Technique: RELATIV | Model: deepseek-v3.2-thinking | File: temp0.7_1shot_relativ_deepseek-v3.2_v1.json | Items evaluated: 18 | Time: 839.89s | Saved: temp0.7_1shot_relativ_deepseek-v3.2_v1_llm_eval15_deepseek3.json
