id;target_star_rating;target_weighted_score;output_star_rating;output_weighted_score
61;Neutral;3.5361;Negative;1.2665
62;Neutral;3.0017;Neutral;3.0003
63;Neutral;2.9528;Negative;1.134
64;Neutral;3.2775;Positive;4.9154
65;Neutral;2.9876;Negative;1.0013
66;Neutral;3.2309;Neutral;3.093
67;Positive;4.0503;Positive;4.6411
68;Neutral;2.9398;Negative;1.0075
69;Neutral;3.1331;Neutral;2.9823
70;Neutral;2.9989;Neutral;3.423
71;Neutral;3.5451;Negative;1.3187
72;Neutral;2.9293;Neutral;2.7108
73;Neutral;3.0034;Positive;4.8368
74;Neutral;2.5317;Negative;2.1066
75;Neutral;2.9778;Negative;1.5091
76;Positive;4.3635;Positive;4.7574
77;Neutral;2.4851;Negative;1.0072
78;Neutral;3.0128;Negative;1.7706
79;Neutral;2.9973;Neutral;2.9866
80;Neutral;2.5992;Negative;1.0723
81;Neutral;3.0061;Positive;4.9209
82;Neutral;2.9361;Neutral;2.2684
83;Neutral;2.9994;Negative;1.003
84;Neutral;2.8367;Negative;1.1239
85;Neutral;3.8767;Positive;4.9436
86;Neutral;2.4647;Negative;2.8838
87;Negative;1.028;Negative;1.0005
88;Positive;4.0453;Positive;4.2879
89;Neutral;3.0004;Negative;1.0401
90;Neutral;2.9914;Neutral;2.2248
91;Neutral;2.9994;Positive;4.1236
92;Neutral;3.0015;Neutral;3.002
93;Neutral;3.0368;Neutral;2.9562
94;Neutral;3.0001;Neutral;3.0001
95;Neutral;2.9993;Negative;1.3336
96;Neutral;2.9975;Negative;1.0193
97;Neutral;2.9999;Negative;1.004
98;Neutral;3.0023;Neutral;3.0409
99;Neutral;3.0014;Neutral;3.2865
100;Neutral;2.9988;Negative;1.0011
101;Positive;4.0853;Negative;1.5026
102;Negative;1.0334;Negative;1.0016
103;Neutral;3.0005;Neutral;2.8748
104;Neutral;2.9994;Negative;1.1935
105;Neutral;2.9996;Neutral;2.2219
106;Neutral;2.9967;Neutral;2.9896
107;Positive;4.239;Positive;4.2061
108;Neutral;2.9988;Negative;1.6219
109;Neutral;2.9883;Negative;1.0099
110;Neutral;2.9994;Negative;1.0153
111;Neutral;2.5394;Negative;1.0305
112;Neutral;3.0005;Negative;1.0162
113;Neutral;2.9993;Negative;1.0017
114;Neutral;3.0088;Neutral;3.0028
115;Neutral;2.9999;Negative;1.0569
116;Neutral;2.9898;Negative;1.007
117;Neutral;2.9995;Neutral;2.8234
118;Neutral;3.0001;Neutral;3.0015
119;Neutral;2.9985;Negative;1.0034
120;Negative;1.0005;Negative;1.0004
121;Neutral;3.0005;Neutral;2.506
122;Neutral;3.2444;Positive;4.3973
123;Neutral;2.9769;Negative;1.0195
124;Neutral;2.9752;Negative;1.9512
125;Neutral;2.9996;Neutral;2.9332
126;Neutral;3.0023;Negative;1.0048
127;Neutral;3.0062;Neutral;3.008
128;Neutral;2.9064;Negative;1.0067
129;Neutral;2.0886;Neutral;2.0731
130;Neutral;3.0268;Neutral;3.4545
131;Neutral;3.0;Negative;2.0608
132;Neutral;3.0004;Neutral;3.0015
133;Neutral;2.9978;Neutral;2.5742
134;Neutral;3.0;Neutral;2.9995
135;Neutral;2.9994;Neutral;2.9979
136;Negative;1.2125;Negative;1.0159
137;Negative;1.7775;Negative;1.0008
138;Neutral;2.8562;Negative;2.8753
139;Neutral;2.9921;Neutral;3.0008
140;Neutral;2.9756;Negative;2.1285
141;Negative;1.0947;Negative;1.0003
142;Neutral;2.9999;Neutral;2.9951
143;Neutral;2.0359;Negative;1.0102
144;Neutral;2.7111;Negative;1.0019
145;Neutral;3.0121;Neutral;2.9693
146;Negative;1.1465;Negative;1.0625
147;Neutral;3.2028;Neutral;3.9025
148;Neutral;2.5286;Negative;1.0007
149;Neutral;2.9072;Neutral;2.2056
150;Positive;4.4782;Positive;4.9639
151;Negative;1.0022;Negative;1.0005
152;Neutral;2.9996;Negative;2.9543
153;Neutral;2.954;Neutral;2.9846
154;Neutral;2.9993;Neutral;2.9314
155;Neutral;2.9967;Neutral;2.1996
